country,diag_defn
Australia,lln
Australia,gold
Austria,lln
Austria,gold
Brazil,gold
Brazil,gold
Cameroon,lln
Canada,lln
Canada,lln
Canada,gold
Chile,lln
Chile,gold
China,lln
China,gold
China,gold
China,gold
China,gold
China,lln
China,gold
Germany,lln
Germany,gold
Germany,gold
Iceland,lln
Iceland,gold
Italy,gold
Japan,gold
Japan,lln
Japan,gold
Japan,gold
Brazil,lln
Malawi,gold
Malawi,lln
Malawi,lln
Mexico,lln
Mexico,gold
Netherlands,gold
Norway,lln
Norway,lln
Norway,gold
Peru,lln
Philippines,lln
Philippines,gold
Poland,lln
Poland,gold
Poland,gold
South Africa,lln
South Africa,gold
South Korea,gold
South Korea,gold
South Korea,gold
South Korea,gold
South Korea,gold
South Korea,lln
Spain,gold
Sweden,gold
Sweden,lln
Sweden,lln
Sweden,gold
Sweden,gold
Sweden,gold
Sweden,lln
Switzerland,lln
Switzerland,lln
Switzerland,lln
Taiwan,gold
Taiwan,gold
Taiwan,gold
Turkey,lln
Turkey,gold
Uganda,gold
United Kingdom,lln
United Kingdom,gold
United Kingdom,gold
United States of America,lln
United States of America,gold
United States of America,gold
United States of America,gold
United States of America,gold
United States of America,lln
United States of America,gold
United States of America,gold
United States of America,gold
United States of America,lln
United States of America,gold
United States of America,gold
United States of America,lln
United States of America,lln
United States of America,gold
United States of America,gold
United States of America,gold
United States of America,lln
United States of America,gold
Uruguay,lln
Uruguay,gold
Venezuela,lln
Venezuela,gold
